id,timestamp,symbol,signal,probability,confidence,price,features_json,executed
1,2025-11-03 21:56:21.536715,PAXG/USDT,b'\x01\x00\x00\x00\x00\x00\x00\x00',0.9998561646626978,HIGH,4020.8,"[[0.0, 0.0, 53.96849264285123, 2.1232200080035, 62.1837870324421, 2.1232200080035, 1.0116515663176786, 69.25615435795096, 67.77126546535062, 0.14196408557696216, 0.4848303093917261, 20.90000000000009, 0.0029038988118036697, 0.0035184778786482955, 0.007386589733386458, 0.0, 1.0, 0.34204768231518595, -12.572621, 6.2106098377140855, 0.0054199875851016245, 1.0, 0.0, 0.0, 0.0]]",0
2,2025-11-03 22:06:06.977577,PAXG/USDT,b'\x01\x00\x00\x00\x00\x00\x00\x00',0.9998562489391114,HIGH,4020.0,"[[0.0, 1.0, 54.319361186731285, 2.706226127832906, 61.220784996984094, 2.706226127832906, 1.2751373891666895, 77.71180328418751, 68.66729659262262, 0.1070797121298872, 0.3569912874154424, 16.09999999999991, 0.0024579220191101093, 0.0032003289558011194, 0.006840796019900498, 0.0009452736318408413, 1.0, 0.6928639291507117, -12.801729, 6.076158240082673, 0.005884660025088034, 1.0, 0.0, 0.0, 100.0]]",0
3,2025-11-03 22:10:18.389683,PAXG/USDT,b'\x01\x00\x00\x00\x00\x00\x00\x00',0.9998562489391114,HIGH,4022.0,"[[0.0, 1.0, 54.86175848841396, 2.8657702873774724, 63.0699106107709, 2.8657702873774724, 1.4027727168023425, 80.51292373236676, 69.60100340868236, 0.156884229399612, 0.40692013880221367, 18.09999999999991, 0.0029111857404570795, 0.0036797888425250465, 0.007334659373446047, 0.00044753853804082097, 1.0, 0.6954996853061193, -9.623767, 6.076158240082673, 0.006125555071931172, 1.0, 0.0, 0.0, 0.0]]",0
4,2025-11-03 22:25:19.237280,PAXG/USDT,b'\x01\x00\x00\x00\x00\x00\x00\x00',0.9998568623587324,HIGH,4015.4,"[[0.0, 1.0, 52.7193158502209, 3.072425396323979, 54.74047829230317, 3.072425396323979, 1.2496813968671792, 87.2000000000001, 79.8300288312265, 0.13965783829616996, 0.18463073852295064, 12.800000000000182, 0.001088376642027703, 0.0019331336020249564, 0.00570304328335909, 0.0023907954375653505, 1.0, 1.3464976606235493, -16.32813399999999, 6.385747690743811, 0.006304831952638171, 1.0, 0.0, 0.0, 0.0]]",0
5,2025-11-03 22:32:41.987401,PAXG/USDT,b'\x01\x00\x00\x00\x00\x00\x00\x00',0.9997753400794622,HIGH,4007.3,"[[0.0, 0.0, 50.64424817235877, 1.8483707989080358, 48.29532624550214, 1.8483707989080358, 0.128001079061558, 52.400000000000226, 70.47797737857623, -0.0024953835404462055, -0.1868088074125751, 3.900000000000091, -0.0006734952475425335, 1.9093325295928843e-06, 0.0032690340129265, 0.004416939086167698, 0.0, 0.1860347254012967, -16.416275000000006, 6.850989537751917, 0.006053580849960139, 2.0, 100.0, 0.0, 100.0]]",0
6,2025-11-03 22:47:41.892673,PAXG/USDT,b'\x01\x00\x00\x00\x00\x00\x00\x00',0.9998735314715729,HIGH,4014.5,"[[0.0, 0.0, 52.172641668262656, 2.5221058547781467, 53.24447899116831, 2.5221058547781467, 0.526571416431916, 50.400000000000226, 63.600000000000186, 0.15717778553965278, 0.07478499314470533, 8.599999999999909, 0.0008342893435532236, 0.0016505562574665375, 0.00505666957279865, 0.0026155187445510027, 1.0, 0.10797284350464041, -8.765209000000004, 7.192493993728054, 0.0059595379191105455, 2.0, 0.0, 0.0, 0.0]]",0
7,2025-11-03 23:02:42.346297,PAXG/USDT,b'\x01\x00\x00\x00\x00\x00\x00\x00',0.9997638593879281,HIGH,4006.0,"[[0.0, 0.0, 50.07840470453986, 1.084875574412763, 47.76131243963591, 1.084875574412763, -0.5844902348677823, 33.99999999999998, 44.57777777777784, -0.3680859530441727, -0.22664441732459517, 4.599999999999909, -0.0009354961894728332, -0.0003337127184523355, 0.0014977533699450823, 0.004742885671492761, 1.0, 0.19980425173833433, -11.390804999999983, 7.6026234758837585, 0.005920644231577217, 2.0, 0.0, 0.0, 0.0]]",0
8,2025-11-03 23:17:42.883252,PAXG/USDT,b'\x01\x00\x00\x00\x00\x00\x00\x00',0.9997638593879281,HIGH,3996.2,"[[0.0, 0.0, 48.04393119276993, -0.4245419383855733, 41.72274824449949, -0.4245419383855733, -1.6141971329846512, 6.923223360490058, 23.410947092934524, -0.7155279503105683, -0.48559404337973344, -9.5, -0.0029745678821120926, -0.0026139521748277167, 0.00015014263550370578, 0.007206846504179016, 1.0, 0.8396192123682995, -26.220439999999982, 7.773579673441401, 0.007262294460193649, 2.0, 0.0, 0.0, 0.0]]",0
9,2025-11-03 23:32:43.093658,PAXG/USDT,b'\x01\x00\x00\x00\x00\x00\x00\x00',0.9997608740806668,HIGH,3992.9,"[[0.0, 0.0, 47.45297763460347, -1.6148706462145128, 39.90689066098039, -1.6148706462145128, -2.233626766234757, 5.9528601566478985, 14.413193551950476, -0.35188420264536946, -0.4214674048581002, -15.099999999999909, -0.0034373888021988516, -0.0032844515275766684, 0.00022540008515116604, 0.008039269703724088, 1.0, 0.09744548175980357, -37.06448499999998, 7.681118806323081, 0.00858649380124689, 2.0, 0.0, 0.0, 100.0]]",0
10,2025-11-03 23:47:43.570591,PAXG/USDT,b'\x01\x00\x00\x00\x00\x00\x00\x00',0.9997608740806668,HIGH,3997.9,"[[0.0, 0.0, 48.4877272374507, -1.7290100741388414, 43.35549734389732, -1.7290100741388414, -1.9513074105385098, 15.6937472888393, 12.2382063724287, -0.4581331075865891, -0.237061436342767, -16.90000000000009, -0.002108182415554038, -0.0020047135507223006, 0.001475774781760447, 0.006778558743340231, 1.0, 0.1211947189617435, -33.793995999999986, 7.427529747088899, 0.008369081588754058, 2.0, 0.0, 0.0, 100.0]]",0
